RIdentifier,FullAcceptedName,Species level,Native species
420218,Lactuca virosa subsp. livida (Boiss. & Reut.) Ladero & A. Velasco,no,NE
420220,Lactuca watsoniana Trel.,Yes,yes
537565,Lathyrus amphicarpos L.,Yes,yes
537568,Lathyrus annuus L.,Yes,yes
540055,Lathyrus blepharicarpus Boiss.,Yes,yes
540613,Lathyrus cassius Boiss.,Yes,no
540614,Lathyrus chloranthus Boiss.,Yes,no
537571,Lathyrus cicera L.,Yes,yes
539248,Lathyrus cirrhosus Ser.,Yes,yes
537572,Lathyrus clymenum L.,Yes,yes
540073,Lathyrus gorgoni Parl.,Yes,yes
539250,Lathyrus grandiflorus Sibth. & Sm.,Yes,yes
539252,Lathyrus heterophyllus L.,Yes,yes
537579,Lathyrus hierosolymitanus Boiss.,Yes,yes
537580,Lathyrus hirsutus L.,Yes,yes
537582,Lathyrus latifolius L.,Yes,yes
539006,Lathyrus latifolius L. var. latifolius,no,NE
537591,Lathyrus ochrus (L.) DC.,Yes,yes
537592,Lathyrus odoratus L.,Yes,yes
539263,Lathyrus rotundifolius Willd.,Yes,yes
537596,Lathyrus sativus L.,Yes,yes
539264,Lathyrus stenophyllus Boiss. & Heldr.,Yes,no
539265,Lathyrus sylvestris L.,Yes,yes
537600,Lathyrus tingitanus L.,Yes,yes
539267,Lathyrus tuberosus L.,Yes,yes
539268,Lathyrus undulatus Boiss.,Yes,yes
539686,Lens culinaris subsp. odemensis (Ladiz.) M. E. Ferguson & al.,no,NE
539682,Lens culinaris subsp. orientalis (Boiss.) Ponert,no,yes
537605,Lens ervoides (Brign.) Grande,Yes,yes
539692,Lens lamottei Czefr.,Yes,yes?
537607,Lens nigricans (M. Bieb.) Godr.,Yes,yes
295395,Lepidium meyeri subsp. turczaninowii (Lipsky) Schmalh.,no,yes
292854,Lepidium sativum L.,Yes,yes
296242,Lepidium sativum L. subsp. sativum,no,NE
534238,Leymus angustus (Trin.) Pilg.,Yes,yes
445516,Leymus arenarius (L.) Hochst.,Yes,yes
466977,Leymus mollis (Trin.) H. Hara,Yes,no
446621,Leymus racemosus (Lam.) Tzvelev,Yes,yes
447478,Leymus racemosus subsp. klokovii Tzvelev,no,NE
447477,Leymus racemosus (Lam.) Tzvelev subsp. racemosus,no,NE
466978,Leymus racemosus subsp. sabulosus (M. Bieb.) Tzvelev,no,NE
321368,Linum bienne Mill.,Yes,yes
321386,Linum corymbiferum Desf.,Yes,no
321390,Linum decumbens Desf.,Yes,yes
321404,Linum hirsutum L.,Yes,yes
321552,Linum hirsutum subsp. anatolicum (Boiss.) Hayek,no,NE
553704,Linum hirsutum subsp. bozdaghense Y?lmaz & Kaynak,no,NE
321554,Linum hirsutum subsp. byzantinum Azn.,no,NE
321632,Linum hirsutum subsp. glabrescens (Rochel) So�,no,NE
321549,Linum hirsutum L. subsp. hirsutum,no,NE
321555,Linum hirsutum subsp. oreocaricum P. H. Davis,no,NE
553705,Linum hirsutum subsp. platyphyllum (P. H. Davis) Y?lmaz & Kaynak,no,NE
321556,Linum hirsutum subsp. pseudoanatolicum P. H. Davis,no,NE
321557,Linum hirsutum subsp. spathulatum (Hal�csy & Bald.) Hayek,no,NE
321426,Linum nervosum Waldst. & Kit.,Yes,yes
553711,Linum nervosum subsp. jailicola (Juz.) T. V. Egorova,no,NE
446644,Lolium multiflorum Lam.,Yes,yes
446649,Lolium perenne L.,Yes,yes
545993,Lolium perenne L. subsp. perenne,no,NE
446655,Lolium rigidum Gaudin,Yes,yes
447486,Lolium rigidum subsp. lepturoides Sennen & Mauricio,no,NE
447485,Lolium rigidum Gaudin subsp. rigidum,no,NE
446658,Lolium temulentum L.,Yes,yes
537368,Lotus corniculatus L.,Yes,yes
540574,Lotus corniculatus subsp. frondosus Freyn,no,NE
537401,Lotus pedunculatus Cav.,Yes,yes
537414,Lotus subbiflorus Lag.,Yes,yes
538117,Lupinus albus L.,Yes,yes
538118,Lupinus albus L. subsp. albus,no,NE
539544,Lupinus albus subsp. graecus (Boiss. & Spruner) Franco & P. Silva,no,NE
538119,Lupinus angustifolius L.,Yes,yes
539545,Lupinus angustifolius L. subsp. angustifolius,no,NE
538120,Lupinus angustifolius subsp. reticulatus (Desv.) Arcang.,no,NE
538122,Lupinus cosentinii Guss.,Yes,yes
537180,Lupinus hispanicus Boiss. & Reut.,Yes,yes
540191,Lupinus hispanicus var. bicolor (Merino) Gladst.,no,NE
538126,Lupinus luteus L.,Yes,yes
538127,Lupinus micranthus Guss.,Yes,yes
539935,Lupinus pilosus L.,Yes,yes
469802,Malus crescimannoi Raimondo,Yes,yes
453080,Malus pumila Mill.,Yes,yes?
469835,Malus sylvestris (L.) Mill.,Yes,yes
469840,Malus sylvestris subsp. orientalis (Uglitzk.) Browicz,no,NE
469844,Malus sylvestris subsp. praecox (Pall.) So�,no,NE
469846,Malus sylvestris (L.) Mill. subsp. sylvestris,no,NE
538067,Medicago arborea L.,Yes,yes
539286,Medicago cancellata M. Bieb.,Yes,yes
541145,Medicago constricta Durieu,Yes,yes
539287,Medicago cretacea M. Bieb.,Yes,yes
538070,Medicago doliata Carmign.,Yes,yes
538071,Medicago falcata L.,Yes,yes
536482,Medicago fischeriana (Ser.) Trautv.,Yes,yes
538074,Medicago glomerata Balb.,Yes,yes
541162,Medicago heyniana Greuter,Yes,yes
538076,Medicago hypogaea E. Small,Yes,yes
538089,Medicago littoralis Loisel.,Yes,yes
538092,Medicago lupulina L.,Yes,yes
537014,Medicago lupulina var. cupaniana (Guss.) Boiss.,no,NE
538093,Medicago marina L.,Yes,yes
538095,Medicago murex Willd.,Yes,yes
540056,Medicago papillosa Boiss.,Yes,no
539289,Medicago pironae Vis.,Yes,yes
538097,Medicago polymorpha L.,Yes,yes
539291,Medicago prostrata Jacq.,Yes,yes
538101,Medicago rigidula (L.) All.,Yes,yes
538103,Medicago rugosa Desr.,Yes,yes
539292,Medicago rupestris M. Bieb.,Yes,yes
538104,Medicago sativa L.,Yes,yes
538106,Medicago sativa subsp. microcarpa Urb.,no,NE
538105,Medicago sativa L. subsp. sativa,no,NE
540468,Medicago sativa nothosubsp. varia (Martyn) Arcang.,no,NE
538108,Medicago scutellata (L.) Mill.,Yes,yes
538110,Medicago soleirolii Duby,Yes,yes?
541223,Medicago strasseri Greuter & al.,Yes,yes
538085,Medicago tornata subsp. helix (Willd.) Ooststr. & Reichg.,no,NE
538112,Medicago truncatula Gaertn.,Yes,yes
538115,Medicago turbinata (L.) All.,Yes,yes
537693,Melilotus albus Medik.,Yes,yes
539296,Melilotus officinalis (L.) Lam.,Yes,yes
502437,Mentha suaveolens Ehrh.,Yes,yes
512280,Mentha suaveolens subsp. insularis (Req. ex Gren. & Godr.) Greuter,no,NE
509774,Mentha suaveolens Ehrh. subsp. suaveolens,no,NE
292887,Moricandia arvensis (L.) DC.,Yes,yes
509051,Myrtus communis L.,Yes,yes
515034,Myrtus communis L. subsp. communis,no,NE
533486,Myrtus communis subsp. tarentina (L.) Nyman,no,NE
467661,Ochlopoa annua (L.) H. Scholz,Yes,yes
467662,Ochlopoa annua (L.) H. Scholz subsp. annua,no,NE
467663,Ochlopoa annua subsp. notabilis (Chrtek & V. Jir�sek) H. Scholz & Vald�s,no,NE
467665,Ochlopoa annua subsp. pilantha (Ronniger) H. Scholz & Vald�s,no,NE
467666,Ochlopoa annua subsp. raniglumis (E. Fr�hner) H. Scholz & Vald�s,no,NE
524538,Olea europaea subsp. cerasiformis G. Kunkel & Sunding,no,yes
529724,Olea europaea L. subsp. europaea,no,YES
521552,Olea europaea subsp. guanchica P. Vargas & al.,no,YES
536964,Onobrychis viciifolia Scop.,Yes,yes
537244,Ornithopus compressus L.,Yes,yes
537251,Ornithopus sativus Brot.,Yes,yes
537247,Ornithopus sativus subsp. isthmocarpus (Coss.) Dost�l,no,NE
466298,Oryza rufipogon Griff.,Yes,no
466417,Panicum miliaceum subsp. agricolum H. Scholz & Mikol�,no,NE
447546,Panicum miliaceum subsp. ruderale (Kitag.) Tzvelev,no,NE
346670,Papaver somniferum L.,Yes,yes
545017,Patellifolia procumbens (C. Sm.) A. J. Scott & al.,Yes,yes
446930,Phalaris aquatica L.,Yes,yes
446940,Phalaris canariensis L.,Yes,yes
446949,Phalaroides arundinacea (L.) Rauschert,Yes,yes
447552,Phalaroides arundinacea (L.) Rauschert subsp. arundinacea,no,NE
465782,Phalaroides arundinacea subsp. oehleri (Pilg.) Vald�s & H. Scholz,no,NE
465789,Phalaroides arundinacea subsp. rotgesii (Husn.) Vald�s & H. Scholz,no,NE
446971,Phleum nodosum L.,Yes,yes
446988,Phleum pratense L.,Yes,yes
447573,Phleum pratense subsp. brachystachyum (Salis) Gamisans,no,NE
447572,Phleum pratense L. subsp. pratense,no,NE
508769,Phoenix canariensis Chabaud,Yes,yes
497158,Phoenix dactylifera L.,Yes,yes
506454,Phoenix theophrasti Greuter,Yes,yes
435041,Pistacia atlantica Desf.,Yes,yes
435077,Pistacia atlantica subsp. cypricola H. Lindb.,no,NE
435069,Pistacia atlantica subsp. mutica (Fisch. & C. A. Mey.) Rech. f.,no,NE
435072,Pistacia eurycarpa Yalt.,Yes,no
435074,Pistacia khinjuk Stocks,Yes,no
435042,Pistacia lentiscus L.,Yes,yes
435045,Pistacia terebinthus L.,Yes,yes
435075,Pistacia terebinthus subsp. palaestina (Boiss.) Engl.,no,NE
435063,Pistacia terebinthus L. subsp. terebinthus,no,NE
540139,Pisum fulvum Sm.,Yes,no
537615,Pisum sativum subsp. elatius (M. Bieb.) Asch. & Graebn.,no,NE
537611,Pisum sativum L. subsp. sativum,no,NE
305220,Plantago lanceolata L.,Yes,yes
447069,Poa alpina L.,Yes,yes
447710,Poa alpina L. subsp. alpina,no,NE
447601,Poa alpina subsp. brevifolia Gaudin,no,NE
445521,Poa palustris L.,Yes,yes
447640,Poa palustris L. subsp. palustris,no,NE
467753,Poa palustris subsp. volhynensis (Klokov) Tzvelev,no,NE
447191,Poa pratensis L.,Yes,yes
467767,Poa pratensis subsp. colpodea (Th. Fr.) Tzvelev,no,NE
467771,Poa pratensis subsp. dolichophylla (Hack.) Portal,no,NE
467773,Poa pratensis subsp. irrigata (Lindm.) H. Lindb.,no,NE
467776,Poa pratensis subsp. jordanii Portal,no,NE
447718,Poa pratensis L. subsp. pratensis,no,NE
447653,Poa pratensis subsp. rigens (Hartm.) Tzvelev,no,NE
447656,Poa pratensis subsp. turfosa (Litv.) Vorosch.,no,NE
447227,Poa trivialis L.,Yes,yes
467800,Poa trivialis subsp. latifolia (Schur) Portal,no,NE
467802,Poa trivialis subsp. semineutra (Willd.) Portal,no,NE
467804,Poa trivialis subsp. sylvicola (Guss.) H. Lindb.,no,NE
447659,Poa trivialis L. subsp. trivialis,no,NE
469867,Prunus arabica (Olivier) Meikle,Yes,no
469870,Prunus argentea (Lam.) Rehder,Yes,no
453951,Prunus armeniaca L.,Yes,no
469874,Prunus avium (L.) L.,Yes,yes
453061,Prunus brigantina Vill.,Yes,yes
469900,Prunus carduchorum (Bornm.) Meikle,Yes,no
453064,Prunus cerasifera Ehrh.,Yes,Yes
469918,Prunus discolor (Spach) C. K. Schneid.,Yes,no
469930,Prunus dulcis (Mill.) D. A. Webb,Yes,no
456048,Prunus fenzliana R. M. Fritsch,Yes,no
453663,Prunus fruticosa Pall.,Yes,yes
469943,Prunus incana (Pall.) Steven,Yes,yes
469947,Prunus kotschyi (Spach) N�b.,Yes,no
453313,Prunus lusitanica L.,Yes,yes
453957,Prunus lusitanica subsp. azorica (Mouill.) Franco,no,NE
454728,Prunus lusitanica subsp. hixa (Willd.) Franco,no,NE
454188,Prunus lusitanica L. subsp. lusitanica,no,NE
469967,Prunus lycioides (Spach) C. K. Schneid.,Yes,no
453015,Prunus mahaleb L.,Yes,yes
469972,Prunus microcarpa C. A. Mey.,Yes,no
453665,Prunus padus L.,Yes,yes
469989,Prunus padus subsp. borealis (A. Blytt) Nyman,no,NE
453958,Prunus padus L. subsp. padus,no,NE
453280,Prunus persica (L.) Batsch,Yes,yes?
453018,Prunus prostrata Labill.,Yes,yes
453668,Prunus ramburii Boiss.,Yes,yes
452622,Prunus spinosa L.,Yes,yes
455702,Prunus spinosa subsp. dasyphylla (Schur) Domin,no,NE
455668,Prunus spinosa L. subsp. spinosa,no,NE
456390,Prunus tomentosa Thunb.,Yes,no
470025,Prunus trichamygdalus Hand.-Mazz.,Yes,no
453672,Prunus webbii (Spach) Vierh.,Yes,yes
453464,Pyrus bourgaeana Decne.,Yes,yes
453021,Pyrus communis L.,Yes,yes
456199,Pyrus communis subsp. caucasica (Fed.) Browicz,no,NE
452626,Pyrus communis L. subsp. communis,no,NE
470059,Pyrus communis subsp. pyraster (L.) Ehrh.,no,NE
452627,Pyrus cordata Desv.,Yes,yes
454194,Pyrus elaeagrifolia Pall.,Yes,yes
470073,Pyrus elaeagrifolia subsp. bulgarica (Kuth. & Sachok.) Valev,no,NE
456266,Pyrus elaeagrifolia Pall. subsp. elaeagrifolia,no,NE
470075,Pyrus elaeagrifolia subsp. kotschyana (Decne.) Browicz,no,NE
453619,Pyrus magyarica Terpó,Yes,yes
454466,Pyrus nivalis Jacq.,Yes,yes
452628,Pyrus salicifolia Pall.,Yes,yes
455787,Pyrus spinosa Forssk.,Yes,yes
452629,Pyrus syriaca Boiss.,Yes,yes
292902,Raphanus raphanistrum L.,Yes,yes
291878,Raphanus raphanistrum subsp. landra (Moretti ex DC.) Bonnier & Layens,no,NE
292404,Raphanus raphanistrum L. subsp. raphanistrum,no,NE
291889,Raphanus raphanistrum subsp. rostratus (DC.) Thell.,no,NE
292406,Raphanus sativus L.,Yes,NO
434781,Ribes aureum Pursh,Yes,yes
434816,Ribes divaricatum Douglas,yes,no
434782,Ribes multiflorum Roem. & Schult.,Yes,yes
434819,Ribes multiflorum Roem. & Schult. subsp. multiflorum,no,NE
434820,Ribes multiflorum subsp. sandalioticum Arrigoni,no,NE
434783,Ribes nigrum L.,Yes,yes
434785,Ribes petraeum Wulfen,Yes,yes
434787,Ribes rubrum L.,Yes,yes
434794,Ribes sanguineum Pursh,Yes,yes
434796,Ribes spicatum E. Robson,Yes,yes
434823,Ribes spicatum subsp. hispidulum (Jancz.) H�met-Ahti,no,NE
434821,Ribes spicatum subsp. lapponicum Hyl.,no,NE
434828,Ribes spicatum E. Robson subsp. spicatum,no,NE
434802,Ribes uva-crispa L.,Yes,yes
294363,Rorippa prolifera (Heuff.) Neilr.,Yes,yes
295448,Rorippa valdes-bermejoi (Castrov.) Mart.-Laborde & Castrov.,Yes,yes
474892,Rubus cockburnianus Hemsl.,Yes,no
452970,Rubus idaeus L.,Yes,yes
453875,Rubus idaeus L. subsp. idaeus,no,NE
475261,Rubus idaeus subsp. melanolasius Focke,no,NE
453876,Rubus illecebrosus Focke,Yes,no
475575,Rubus occidentalis L.,Yes,no
454386,Rubus odoratus L.,Yes,no
453869,Rubus phoenicolasius Maxim.,Yes,no
453242,Rubus saxatilis L.,Yes,yes
454090,Rubus spectabilis Pursh,Yes,no
447906,Saccharum spontaneum L.,Yes,yes
448636,Saccharum spontaneum subsp. aegyptiacum (Willd.) Hack.,no,NE
450691,Salsola vermiculata L.,Yes,yes
467928,Schedonorus arundinaceus (Schreb.) Dumort.,Yes,yes
448638,Schedonorus arundinaceus (Schreb.) Dumont subsp. arundinaceus,no,NE
467932,Schedonorus arundinaceus subsp. atlantigenus (St.-Yves) H. Scholz,no,NE
467933,Schedonorus arundinaceus subsp. cirtensis (St.-Yves) H. Scholz & Vald�s,no,NE
467936,Schedonorus arundinaceus subsp. corsicus (Hack.) Foggi & Signorini,no,NE
467938,Schedonorus arundinaceus subsp. fenas (Lag.) H. Scholz,no,NE
467940,Schedonorus arundinaceus subsp. mediterraneus (Hack.) H. Scholz & Vald�s,no,NE
467943,Schedonorus arundinaceus subsp. orientalis (Hack.) H. Scholz & Vald�s,no,NE
467950,Schedonorus giganteus (L.) Holub,Yes,yes
467954,Schedonorus pratensis (Huds.) P. Beauv.,Yes,yes
467956,Schedonorus pratensis subsp. apenninus (De Not.) H. Scholz & Vald�s,no,NE
467955,Schedonorus pratensis (Huds.) P. Beauv. subsp. pratensis,no,NE
447940,Secale cereale L.,Yes,yes
466997,Secale cereale subsp. ancestrale Zhuk.,no,yes
466996,Secale cereale L. subsp. cereale,no,NO
467004,Secale strictum (C. Presl) C. Presl,Yes,yes
467009,Secale strictum subsp. anatolicum (Boiss.) Hammer,no,NE
467010,Secale strictum subsp. balcanum (Ganchev) Vald�s & H. Scholz,no,NE
467011,Secale strictum subsp. ciliatoglume (Boiss.) Hammer,no,NE
467008,Secale strictum (C. Presl) C. Presl subsp. strictum,no,NE
447948,Secale sylvestre Host,Yes,yes
447951,Secale vavilovii Grossh.,Yes,no
540207,Securigera varia (L.) Lassen,yes,yes
466469,Setaria italica (L.) P. Beauv.,Yes,yes
466471,Setaria italica (L.) P. Beauv. subsp. italica,no,NE
466472,Setaria italica subsp. moharia (Alef.) R. A. W. Herrm.,no,NE
466477,Setaria italica subsp. pycnocoma (Steud.) De Wet,no,NE
295115,Sinapidendron angustifolium (DC.) Lowe,Yes,yes
295118,Sinapidendron frutescens Lowe,Yes,yes
295159,Sinapidendron frutescens (Sol.) Lowe var. frutescens,no,NE
295145,Sinapidendron frutescens subsp. succulentum (Lowe) Rustan,no,NE
295122,Sinapidendron gymnocalyx (Lowe) Rustan,Yes,yes
295124,Sinapidendron rupestre Lowe,Yes,yes
295125,Sinapidendron sempervivifolium Menezes,Yes,yes
292781,Sinapis alba L.,Yes,yes
294375,Sinapis alba L. subsp. alba,no,NE
294377,Sinapis alba subsp. dissecta (Lag.) Simonk.,no,NE
295411,Sinapis alba subsp. mairei (H. Lindb.) Maire,no,NE
292782,Sinapis arvensis L.,Yes,yes
295413,Sinapis arvensis L. subsp. arvensis,no,NE
292313,Sinapis arvensis var. orientalis (L.) W. D. J. Koch & Ziz,no,NE
294380,Sinapis flexuosa Poir.,Yes,yes
449434,Solanum lidii Sunding,Yes,yes
449435,Solanum linnaeanum Hepper & P.-M. L. Jaeger,Yes,no
449436,Solanum marginatum L. f.,Yes,no
449469,Solanum sisymbrifolium Lam.,Yes,no
449474,Solanum torvum Sw.,Yes,no
448054,Sorghum bicolor (L.) Moench,Yes,no
448068,Sorghum halepense (L.) Pers.,Yes,yes
537811,Trifolium alexandrinum L.,Yes,no
539361,Trifolium alpestre L.,Yes,yes
539009,Trifolium alpestre L. var. alpestre,no,NE
539010,Trifolium alpestre var. durmitoreum Rohlena,no,NE
539363,Trifolium ambiguum M. Bieb.,Yes,yes
537812,Trifolium angustifolium L.,Yes,yes
537813,Trifolium argutum Banks & Sol.,Yes,yes
537815,Trifolium arvense L.,Yes,yes
537831,Trifolium fragiferum L.,Yes,yes
539576,Trifolium fragiferum subsp. bonannii (C. Presl) Soj�k,no,NE
539575,Trifolium fragiferum L. subsp. fragiferum,no,NE
537835,Trifolium hirtum All.,Yes,yes
537836,Trifolium hybridum L.,Yes,yes
539578,Trifolium hybridum subsp. anatolicum (Boiss.) M. Hossain,no,NE
539579,Trifolium hybridum subsp. elegans (Savi) Asch. & Graebn.,no,NE
539577,Trifolium hybridum L. subsp. hybridum,no,NE
537837,Trifolium incarnatum L.,Yes,yes
539580,Trifolium incarnatum L. subsp. incarnatum,no,NE
539581,Trifolium incarnatum subsp. molinerii (Hornem.) Syme,no,NE
537842,Trifolium isthmocarpum Brot.,Yes,yes
539582,Trifolium isthmocarpum Brot. subsp. isthmocarpum,no,NE
539583,Trifolium isthmocarpum subsp. jaminianum (Boiss.) Murb.,no,NE
537849,Trifolium michelianum Savi,Yes,yes
536369,Trifolium michelianum var. balansae (Boiss.) Azn.,no,NE
536368,Trifolium michelianum Savi var. michelianum,no,NE
537865,Trifolium pratense L.,Yes,yes
539013,Trifolium pratense var. americanum Harz,no,NE
539014,Trifolium pratense var. frigidum Gaudin,no,NE
539015,Trifolium pratense var. maritimum Zabel,no,NE
539012,Trifolium pratense L. var. pratense,no,NE
536366,Trifolium pratense var. sativum Schreb.,no,NE
537869,Trifolium repens L.,Yes,yes
539624,Trifolium repens var. biasolettii (Steud. & Hochst.) Asch. & Graebn.,no,NE
539623,Trifolium repens var. macrorrhizum Boiss.,no,NE
539625,Trifolium repens var. nevadense (Boiss.) C. Vicioso,no,NE
536388,Trifolium repens var. ochranthum K. Mal�,no,NE
539620,Trifolium repens var. orbelicum (Velen.) R. M. Fritsch,no,NE
539621,Trifolium repens var. orphanideum (Boiss.) Boiss.,no,NE
539596,Trifolium repens subsp. prostratum Nyman,no,NE
539622,Trifolium repens L. var. repens,no,NE
537870,Trifolium resupinatum L.,Yes,yes
539017,Trifolium resupinatum var. majus Boiss.,no,NE
539016,Trifolium resupinatum L. var. resupinatum,no,NE
537877,Trifolium squarrosum L.,Yes,yes
537882,Trifolium subterraneum L.,Yes,yes
549483,Trifolium subterraneum subsp. oxaloides Nyman,no,NE
540479,Trifolium subterraneum subsp. yanninicum Katzn. & F. H. W. Morley,no,NE
539426,Trifolium vesiculosum Savi,Yes,yes
537798,Trigonella foenum-graecum L.,Yes,no
468734,Trisetum flavescens (L.) P. Beauv.,Yes,yes
468738,Trisetum flavescens subsp. baregense (Laffitte & Mi�gev.) O. Bol�s & al.,no,NE
448786,Trisetum flavescens subsp. corsicum (Rouy) Cif. & Giacom.,no,NE
468737,Trisetum flavescens (L.) P. Beauv. subsp. flavescens,no,NE
448788,Trisetum flavescens subsp. purpurascens (DC.) Arcang.,no,NE
448792,Trisetum flavescens subsp. serbicum (Velen.) Hayek,no,NE
468742,Trisetum flavescens subsp. splendens (C. Presl) Arcang.,no,NE
448795,Trisetum flavescens subsp. tenue (Form�nek) Strid,no,NE
448441,Triticum monococcum L.,Yes,yes
467032,Triticum monococcum subsp. aegilopoides (Link) Thell.,no,NE
467038,Triticum monococcum subsp. sinskajae (A. A. Filatenko & U. K. Kurkiev) Vald�s & H. Scholz,no,NE
467041,Triticum timopheevii (Zhuk.) Zhuk.,Yes,no
467046,Triticum timopheevii subsp. armeniacum (Jakubz.) Mackey,no,NE
448448,Triticum turgidum L.,Yes,yes
545323,Triticum turgidum subsp. asiaticum (Vavilov) H. Scholz,no,NE
467057,Triticum turgidum subsp. dicoccoides (Asch. & Graebn.) Thell.,no,NE
467082,Triticum turgidum subsp. subspontaneum (Tzvelev) Vald�s & H. Scholz,no,NE
534228,Triticum turgidum subsp. volgense (Flaksb.) � L�ve & D. L�ve,no,NE
437454,Vaccinium corymbosum L.,Yes,no
437461,Vaccinium macrocarpon Aiton,Yes,no
437468,Vaccinium oxycoccos L.,Yes,yes
540531,Vicia anatolica Turrill,Yes,yes
537619,Vicia articulata Hornem.,Yes,yes
539451,Vicia barbazitae Ten. & Guss.,Yes,yes
537620,Vicia benghalensis L.,Yes,yes
537622,Vicia bithynica (L.) L.,Yes,yes
540483,Vicia capreolata Lowe,Yes,yes
540535,Vicia ciliatula Lipsky,Yes,Yes
540484,Vicia costae A. Hansen,Yes,yes
539457,Vicia cuspidata Boiss.,Yes,yes
540098,Vicia eristalioides Maxted,Yes,no
537627,Vicia ervilia (L.) Willd.,Yes,yes
540485,Vicia ferreirensis Goyder,Yes,yes
539460,Vicia grandiflora Scop.,Yes,yes
540533,Vicia grandiflora Scop. var. grandiflora,no,NE
537632,Vicia hirsuta (L.) Gray,Yes,yes
537633,Vicia hybrida L.,Yes,yes
540064,Vicia hyrcanica Fisch. & C. A. Mey.,Yes,no
540147,Vicia johannis Tamamsch.,Yes,yes
540095,Vicia johannis Tamamsch. var. johannis,no,NE
540539,Vicia johannis var. procumbens H. I. Schafer,no,NE
537634,Vicia lathyroides L.,Yes,yes
537640,Vicia lutea L.,Yes,yes
539608,Vicia lutea L. subsp. lutea,no,NE
539609,Vicia lutea subsp. vestita (Boiss.) Rouy,no,NE
539462,Vicia melanops Sibth. & Sm.,Yes,yes
540540,Vicia melanops Sibth. & Sm. var. melanops,no,NE
540099,Vicia mollis Boiss. & Hausskn.,Yes,no
537648,Vicia narbonensis L.,Yes,yes
540094,Vicia narbonensis var. affinis Asch. & Schweinf.,no,NE
540092,Vicia narbonensis L. var. narbonensis,no,NE
540541,Vicia narbonensis var. salmonea (Mouterde) H. I. Schafer,no,NE
537655,Vicia pannonica Crantz,Yes,yes
539614,Vicia pannonica Crantz subsp. pannonica,no,NE
539615,Vicia pannonica subsp. striata (M. Bieb.) Nyman,no,NE
540487,Vicia pectinata Lowe,Yes,yes
539471,Vicia pyrenaica Pourr.,Yes,yes
537659,Vicia sativa L.,Yes,yes
537660,Vicia sativa subsp. amphicarpa (Dorthes) Asch.,no,NE
539616,Vicia sativa subsp. cordata (Hoppe) Batt.,no,NE
540524,Vicia sativa subsp. devia J. G. Costa,no,NE
539617,Vicia sativa subsp. incisa (M. Bieb.) Arcang.,no,NE
537661,Vicia sativa subsp. macrocarpa (Moris) Arcang.,no,NE
537662,Vicia sativa subsp. nigra (L.) Ehrh.,no,NE
540528,Vicia sativa var. platysperma Barulina,no,NE
537673,Vicia serratifolia Jacq.,Yes,yes
537681,Vicia villosa Roth,Yes,yes
541315,Vicia villosa subsp. ambigua (Guss.) Kergu�len,no,NE
537682,Vicia villosa subsp. eriocarpa (Hausskn.) P. W. Ball,no,NE
537684,Vicia villosa subsp. microphylla (d'Urv.) P. W. Ball,no,NE
537688,Vicia villosa subsp. varia (Host) Corb.,no,NE
537690,Vicia villosa Roth subsp. villosa,no,NE
552123,Vitis acerifolia Raf.,Yes,no
553625,Vitis amurensis Rupr.,Yes,no
449722,Vitis labrusca L.,Yes,no
449733,Vitis riparia Michx.,Yes,no
449726,Vitis rupestris Scheele,Yes,no
449727,Vitis vinifera L.,Yes,yes
449732,Vitis vulpina L.,Yes,no